dataset,protocol,variant,run,status,output_dir
KinetX,drug_cold,without_drug,1,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/KinetX/drug_cold/without_drug/run1
KinetX,drug_cold,without_drug,2,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/KinetX/drug_cold/without_drug/run2
KinetX,drug_cold,without_drug,3,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/KinetX/drug_cold/without_drug/run3
KinetX,drug_cold,without_drug,4,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/KinetX/drug_cold/without_drug/run4
KinetX,drug_cold,without_drug,5,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/KinetX/drug_cold/without_drug/run5
KinetX,drug_cold,without_joint,1,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/KinetX/drug_cold/without_joint/run1
KinetX,drug_cold,without_joint,2,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/KinetX/drug_cold/without_joint/run2
KinetX,drug_cold,without_joint,3,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/KinetX/drug_cold/without_joint/run3
KinetX,drug_cold,without_joint,4,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/KinetX/drug_cold/without_joint/run4
KinetX,drug_cold,without_joint,5,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/KinetX/drug_cold/without_joint/run5
KinetX,protein_cold,full,1,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/KinetX/protein_cold/full/run1
KinetX,protein_cold,full,2,verified,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/formal/KinetX/protein_cold/full/run2
